fold,flatBand,slopeLen,adxStrongTh,minScore,cooldown,is_n,is_pf,is_exp,is_win_rate,is_wins,is_losses,is_win3R,is_tp1R,is_sl
0,1.0,20,20,50,10,40,1.8695652173913044,0.5,0.425,17,23,13,4,23
0,1.0,20,20,50,25,32,2.7333333333333334,0.8125,0.53125,17,15,12,5,15
0,1.0,20,20,50,50,32,1.4761904761904763,0.3125,0.34375,11,21,10,1,21
0,1.0,20,20,60,10,37,1.7727272727272727,0.4594594594594595,0.40540540540540543,15,22,12,3,22
0,1.0,20,20,60,25,33,2.1666666666666665,0.6363636363636364,0.45454545454545453,15,18,12,3,18
0,1.0,20,20,60,50,31,1.7894736842105263,0.4838709677419355,0.3870967741935484,12,19,11,1,19
0,1.0,20,20,75,10,37,1.7727272727272727,0.4594594594594595,0.40540540540540543,15,22,12,3,22
0,1.0,20,20,75,25,33,2.1666666666666665,0.6363636363636364,0.45454545454545453,15,18,12,3,18
0,1.0,20,20,75,50,31,1.7894736842105263,0.4838709677419355,0.3870967741935484,12,19,11,1,19
0,1.0,20,25,50,10,40,1.8695652173913044,0.5,0.425,17,23,13,4,23
0,1.0,20,25,50,25,32,2.7333333333333334,0.8125,0.53125,17,15,12,5,15
0,1.0,20,25,50,50,32,1.4761904761904763,0.3125,0.34375,11,21,10,1,21
0,1.0,20,25,60,10,37,1.7727272727272727,0.4594594594594595,0.40540540540540543,15,22,12,3,22
0,1.0,20,25,60,25,33,2.1666666666666665,0.6363636363636364,0.45454545454545453,15,18,12,3,18
0,1.0,20,25,60,50,31,1.7894736842105263,0.4838709677419355,0.3870967741935484,12,19,11,1,19
0,1.0,20,25,75,10,37,1.7727272727272727,0.4594594594594595,0.40540540540540543,15,22,12,3,22
0,1.0,20,25,75,25,33,2.1666666666666665,0.6363636363636364,0.45454545454545453,15,18,12,3,18
0,1.0,20,25,75,50,31,1.7894736842105263,0.4838709677419355,0.3870967741935484,12,19,11,1,19
0,1.5,5,20,50,10,0,,,,0,0,0,0,0
0,1.5,5,20,50,25,0,,,,0,0,0,0,0
0,1.5,5,20,50,50,0,,,,0,0,0,0,0
0,1.5,5,20,60,10,0,,,,0,0,0,0,0
0,1.5,5,20,60,25,0,,,,0,0,0,0,0
0,1.5,5,20,60,50,0,,,,0,0,0,0,0
0,1.5,5,20,75,10,0,,,,0,0,0,0,0
0,1.5,5,20,75,25,0,,,,0,0,0,0,0
0,1.5,5,20,75,50,0,,,,0,0,0,0,0
0,1.5,5,25,50,10,0,,,,0,0,0,0,0
0,1.5,5,25,50,25,0,,,,0,0,0,0,0
0,1.5,5,25,50,50,0,,,,0,0,0,0,0
0,1.5,5,25,60,10,0,,,,0,0,0,0,0
0,1.5,5,25,60,25,0,,,,0,0,0,0,0
0,1.5,5,25,60,50,0,,,,0,0,0,0,0
0,1.5,5,25,75,10,0,,,,0,0,0,0,0
0,1.5,5,25,75,25,0,,,,0,0,0,0,0
0,1.5,5,25,75,50,0,,,,0,0,0,0,0
0,1.5,10,20,50,10,15,1.0909090909090908,0.06666666666666667,0.26666666666666666,4,11,4,0,11
0,1.5,10,20,50,25,14,0.8181818181818182,-0.14285714285714285,0.21428571428571427,3,11,3,0,11
0,1.5,10,20,50,50,13,0.9,-0.07692307692307693,0.23076923076923078,3,10,3,0,10
0,1.5,10,20,60,10,15,1.0909090909090908,0.06666666666666667,0.26666666666666666,4,11,4,0,11
0,1.5,10,20,60,25,14,0.8181818181818182,-0.14285714285714285,0.21428571428571427,3,11,3,0,11
0,1.5,10,20,60,50,13,0.9,-0.07692307692307693,0.23076923076923078,3,10,3,0,10
0,1.5,10,20,75,10,15,1.0909090909090908,0.06666666666666667,0.26666666666666666,4,11,4,0,11
0,1.5,10,20,75,25,14,0.8181818181818182,-0.14285714285714285,0.21428571428571427,3,11,3,0,11
0,1.5,10,20,75,50,13,0.9,-0.07692307692307693,0.23076923076923078,3,10,3,0,10
0,1.5,10,25,50,10,15,1.0909090909090908,0.06666666666666667,0.26666666666666666,4,11,4,0,11
0,1.5,10,25,50,25,14,0.8181818181818182,-0.14285714285714285,0.21428571428571427,3,11,3,0,11
0,1.5,10,25,50,50,13,0.9,-0.07692307692307693,0.23076923076923078,3,10,3,0,10
0,1.5,10,25,60,10,15,1.0909090909090908,0.06666666666666667,0.26666666666666666,4,11,4,0,11
0,1.5,10,25,60,25,14,0.8181818181818182,-0.14285714285714285,0.21428571428571427,3,11,3,0,11
0,1.5,10,25,60,50,13,0.9,-0.07692307692307693,0.23076923076923078,3,10,3,0,10
0,1.5,10,25,75,10,15,1.0909090909090908,0.06666666666666667,0.26666666666666666,4,11,4,0,11
0,1.5,10,25,75,25,14,0.8181818181818182,-0.14285714285714285,0.21428571428571427,3,11,3,0,11
0,1.5,10,25,75,50,13,0.9,-0.07692307692307693,0.23076923076923078,3,10,3,0,10
0,1.5,20,20,50,10,35,1.2,0.14285714285714285,0.2857142857142857,10,25,10,0,25
0,1.5,20,20,50,25,31,1.4285714285714286,0.2903225806451613,0.3225806451612903,10,21,10,0,21
0,1.5,20,20,50,50,27,1.5,0.3333333333333333,0.3333333333333333,9,18,9,0,18
0,1.5,20,20,60,10,35,1.2,0.14285714285714285,0.2857142857142857,10,25,10,0,25
0,1.5,20,20,60,25,31,1.4285714285714286,0.2903225806451613,0.3225806451612903,10,21,10,0,21
0,1.5,20,20,60,50,27,1.5,0.3333333333333333,0.3333333333333333,9,18,9,0,18
0,1.5,20,20,75,10,35,1.2,0.14285714285714285,0.2857142857142857,10,25,10,0,25
0,1.5,20,20,75,25,31,1.4285714285714286,0.2903225806451613,0.3225806451612903,10,21,10,0,21
